player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,player_lower,firstname_lower,lastname_lower,firstinitial_lower,nationality_code,nationality_cleaned
Federico Brancolini,it ITA,GK,Fiorentina,18,2001,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,0.0,0.0,27.5,1.0,100.0,67.0,0.0,0.0,0.0,0.0,0.0,21.0,19/20,federico brancolini,federico,brancolini,f,ITA,Italy
Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4.0,3.0,347.0,7.0,1.82,15.0,8.0,0.533,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,4.0,0.27,-3.0,-0.78,19.0,47.0,40.4,104.0,13.0,27.9,31.5,28.0,64.3,48.2,35.0,3.0,8.6,1.0,0.26,12.4,19/20,claudio bravo,claudio,bravo,c,CHI,Chile
Gianluigi Buffon,it ITA,GK,Juventus,41,1978,9.0,9.0,810.0,10.0,1.11,32.0,23.0,0.719,7.0,1.0,1.0,1.0,11.1,2.0,1.0,0.0,1.0,9.0,0.0,2.0,0.0,7.7,0.21,-2.3,-0.26,22.0,38.0,57.9,157.0,40.0,17.8,27.4,55.0,18.2,22.9,76.0,1.0,1.3,7.0,0.78,16.4,19/20,gianluigi buffon,gianluigi,buffon,g,ITA,Italy
Roman Bürki,ch SUI,GK,Dortmund,28,1990,31.0,31.0,2770.0,40.0,1.3,93.0,59.0,0.602,19.0,5.0,7.0,13.0,41.9,3.0,3.0,0.0,0.0,30.8,0.0,8.0,3.0,34.7,0.36,-2.3,-0.07,116.0,320.0,36.3,843.0,181.0,29.8,32.8,204.0,33.8,34.3,221.0,15.0,6.8,27.0,0.88,14.8,19/20,roman burki,roman,burki,r,SUI,Switzerland
Ludovic Butelle,fr FRA,GK,Angers,36,1983,26.0,26.0,2340.0,32.0,1.23,78.0,50.0,0.628,10.0,6.0,10.0,11.0,42.3,3.0,3.0,0.0,0.0,26.0,1.0,1.0,1.0,24.3,0.28,-6.7,-0.26,149.0,384.0,38.8,493.0,114.0,47.5,39.8,203.0,73.9,52.5,185.0,15.0,8.1,21.0,0.81,14.9,19/20,ludovic butelle,ludovic,butelle,l,FRA,France
Marcin Bułka,pl POL,GK,Paris S-G,19,1999,1.0,1.0,90.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.1,0.2,0.21,0.0,0.0,0.0,12.0,3.0,0.0,18.6,6.0,0.0,23.5,5.0,0.0,0.0,0.0,0.0,6.5,19/20,marcin buka,marcin,buka,m,POL,Poland
Willy Caballero,ar ARG,GK,Chelsea,37,1981,5.0,5.0,450.0,7.0,1.4,16.0,10.0,0.563,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,5.6,0.35,-0.4,-0.07,32.0,74.0,43.2,137.0,15.0,45.3,35.8,28.0,42.9,36.8,20.0,0.0,0.0,2.0,0.4,12.4,19/20,willy caballero,willy,caballero,w,ARG,Argentina
Matis Carvalho,pt POR,GK,Montpellier,20,1999,1.0,0.0,71.0,4.0,5.07,8.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,1.9,0.24,-1.1,-1.43,2.0,16.0,12.5,18.0,3.0,55.6,49.2,9.0,66.7,50.0,3.0,1.0,33.3,0.0,0.0,15.5,19/20,matis carvalho,matis,carvalho,m,POR,Portugal
Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26.0,26.0,2340.0,38.0,1.46,104.0,69.0,0.673,11.0,6.0,9.0,5.0,19.2,4.0,4.0,0.0,0.0,26.0,1.0,5.0,0.0,36.7,0.33,-1.3,-0.05,227.0,485.0,46.8,807.0,123.0,47.0,40.1,178.0,59.6,48.7,217.0,18.0,8.3,24.0,0.92,15.5,19/20,koen casteels,koen,casteels,k,BEL,Belgium
Churripi,es ESP,GK,Valladolid,25,1994,3.0,3.0,244.0,3.0,1.11,13.0,10.0,0.769,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,2.7,0.0,2.0,0.0,3.1,0.24,0.1,0.04,18.0,80.0,22.5,75.0,11.0,78.7,55.3,24.0,87.5,67.6,25.0,3.0,12.0,3.0,1.11,13.7,19/20,churripi,churripi,churripi,c,ESP,Spain
