"PlayerFBref","UrlFBref","UrlTmarkt"
"Abel Ruiz","https://fbref.com/en/players/6cbf8d0d/Abel-Ruiz","https://www.transfermarkt.com/abel-ruiz/profil/spieler/340376"
"Ablie Jallow","https://fbref.com/en/players/1bc6135b/Ablie-Jallow","https://www.transfermarkt.com/ablie-jallow/profil/spieler/366045"
"Abou Ouattara","https://fbref.com/en/players/6578600f/Abou-Ouattara","https://www.transfermarkt.com/abou-ouattara/profil/spieler/443263"
"Aboubacar Ouattara","https://fbref.com/en/players/2f9e4435/Aboubacar-Ouattara","https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231"
"Aboubakar Kamara","https://fbref.com/en/players/4047c976/Aboubakar-Kamara","https://www.transfermarkt.com/aboubakar-kamara/profil/spieler/290951"
"Abukar Mohamed","https://fbref.com/en/players/2226b8dc/Abukar-Mohamed","https://www.transfermarkt.com/abukar-mohamed/profil/spieler/363714"
"Achraf Hakimi","https://fbref.com/en/players/e42d61c7/Achraf-Hakimi","https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073"
"Achraf Lazaar","https://fbref.com/en/players/957d41d2/Achraf-Lazaar","https://www.transfermarkt.com/achraf-lazaar/profil/spieler/139173"
"Adalberto Peñaranda","https://fbref.com/en/players/4b3f2936/Adalberto-Penaranda","https://www.transfermarkt.com/adalberto-penaranda/profil/spieler/308801"
"Adam Armstrong","https://fbref.com/en/players/68c720b5/Adam-Armstrong","https://www.transfermarkt.com/adam-armstrong/profil/spieler/250426"
"Adam Bodzek","https://fbref.com/en/players/bb8a42fa/Adam-Bodzek","https://www.transfermarkt.com/adam-bodzek/profil/spieler/20778"
"Adam Forshaw","https://fbref.com/en/players/9f1938ab/Adam-Forshaw","https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257"
"Adam Idah","https://fbref.com/en/players/291e3ec3/Adam-Idah","https://www.transfermarkt.com/adam-idah/profil/spieler/434223"
"Adam Jakubech","https://fbref.com/en/players/e6951f76/Adam-Jakubech","https://www.transfermarkt.com/adam-jakubech/profil/spieler/258267"
"Adam Lallana","https://fbref.com/en/players/99813635/Adam-Lallana","https://www.transfermarkt.com/adam-lallana/profil/spieler/43530"
"Adam Legzdins","https://fbref.com/en/players/f5b114ca/Adam-Legzdins","https://www.transfermarkt.com/adam-legzdins/profil/spieler/43858"
"Adam Marušić","https://fbref.com/en/players/d4535821/Adam-Marusic","https://www.transfermarkt.com/adam-marusic/profil/spieler/239802"
"Adam Masina","https://fbref.com/en/players/de0f152c/Adam-Masina","https://www.transfermarkt.com/adam-masina/profil/spieler/286949"
"Adam Oudjani","https://fbref.com/en/players/67a98fa0/Adam-Oudjani","https://www.transfermarkt.com/adam-oudjani/profil/spieler/676525"
"Adam Ounas","https://fbref.com/en/players/ed90babd/Adam-Ounas","https://www.transfermarkt.com/adam-ounas/profil/spieler/400485"
"Adam Smith","https://fbref.com/en/players/20b104bc/Adam-Smith","https://www.transfermarkt.com/adam-smith/profil/spieler/61841"
