,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
20,Luisinho,"€ 5,000","€ 260,000",LB,35,Starter,"Jun 30, 2021",1-yr,"€ 260,000",Huesca,La Liga,2020-2021
21,Eugeni Valderrama,"€ 5,000","€ 260,000",AM,26,Reserve,"Jun 30, 2021",1-yr,"€ 260,000",Huesca,La Liga,2020-2021
22,Jorge Pulido,"€ 4,231","€ 220,000",CB,29,Starter,"Jun 30, 2022",2-yrs,"€ 440,000",Huesca,La Liga,2020-2021
23,Dani Escriche,"€ 4,038","€ 210,000",CF,22,Reserve,"Jun 30, 2022",2-yrs,"€ 420,000",Huesca,La Liga,2020-2021
24,Pedro López,"€ 4,038","€ 210,000",RB,37,Reserve,"Jun 30, 2021",1-yr,"€ 210,000",Huesca,La Liga,2020-2021
25,David Ferreiro,"€ 3,654","€ 190,000",RW,32,Starter,"Jun 30, 2021",1-yr,"€ 190,000",Huesca,La Liga,2020-2021
26,Antonio Valera,"€ 3,077","€ 160,000",GK,24,Reserve,"Jun 30, 2022",2-yrs,"€ 320,000",Huesca,La Liga,2020-2021
0,José Luis Morales,"€ 35,385","€ 1,840,000",CF,33,Starter,"Jun 30, 2021",1-yr,"€ 1,840,000",Levante,La Liga,2020-2021
1,Rubén Rochina,"€ 32,692","€ 1,700,000",RW,29,Starter,"Jun 30, 2021",1-yr,"€ 1,700,000",Levante,La Liga,2020-2021
2,José Campaña,"€ 30,769","€ 1,600,000",CM,27,Reserve,"Jun 30, 2023",3-yrs,"€ 4,800,000",Levante,La Liga,2020-2021
3,Roger Martí,"€ 22,500","€ 1,170,000",CF,30,Starter,"Jun 30, 2024",4-yrs,"€ 4,680,000",Levante,La Liga,2020-2021
4,Aitor Fernández,"€ 20,769","€ 1,080,000",GK,29,Starter,"Jun 30, 2023",3-yrs,"€ 3,240,000",Levante,La Liga,2020-2021
5,Enis Bardhi,"€ 19,615","€ 1,020,000",LW,25,Starter,"Jun 30, 2022",2-yrs,"€ 2,040,000",Levante,La Liga,2020-2021
6,Nikola Vukcevic,"€ 18,462","€ 960,000",DM,29,Reserve,"Jun 30, 2022",2-yrs,"€ 1,920,000",Levante,La Liga,2020-2021
7,Rúben Vezo,"€ 14,423","€ 750,000",CB,26,Starter,"Jun 30, 2024",4-yrs,"€ 3,000,000",Levante,La Liga,2020-2021
8,Coke,"€ 13,077","€ 680,000",RB,33,Reserve,"Jun 30, 2022",2-yrs,"€ 1,360,000",Levante,La Liga,2020-2021
9,Nemanja Radoja,"€ 13,077","€ 680,000",DM,27,Reserve,"Jun 30, 2022",2-yrs,"€ 1,360,000",Levante,La Liga,2020-2021
10,Gonzalo Melero,"€ 10,385","€ 540,000",CM,27,Starter,"Jun 30, 2023",3-yrs,"€ 1,620,000",Levante,La Liga,2020-2021
11,Mickaël Malsa,"€ 10,192","€ 530,000",DM,25,Starter,"Jun 30, 2024",4-yrs,"€ 2,120,000",Levante,La Liga,2020-2021
12,Cheick Doukouré,"€ 10,192","€ 530,000",DM,28,Reserve,"Jun 30, 2021",1-yr,"€ 530,000",Levante,La Liga,2020-2021
13,Toño,"€ 9,615","€ 500,000",LB,31,Reserve,"Jun 30, 2023",3-yrs,"€ 1,500,000",Levante,La Liga,2020-2021
14,Óscar Duarte,"€ 8,654","€ 450,000",CB,31,Reserve,"Jun 30, 2021",1-yr,"€ 450,000",Levante,La Liga,2020-2021
15,Sergio Postigo,"€ 8,462","€ 440,000",CB,32,Starter,"Jun 30, 2021",1-yr,"€ 440,000",Levante,La Liga,2020-2021
16,Jorge de Frutos,"€ 8,077","€ 420,000",RW,23,Reserve,"Jun 30, 2025",5-yrs,"€ 2,100,000",Levante,La Liga,2020-2021
17,Edgar Sevikyan,"€ 8,077","€ 420,000",RW,19,Reserve,"Jun 30, 2022",2-yrs,"€ 840,000",Levante,La Liga,2020-2021
18,Carlos Clerc,"€ 7,885","€ 410,000",LB,28,Starter,"Jun 30, 2022",2-yrs,"€ 820,000",Levante,La Liga,2020-2021
19,Son,"€ 6,923","€ 360,000",RB,26,Reserve,"Jun 30, 2024",4-yrs,"€ 1,440,000",Levante,La Liga,2020-2021
20,Jorge Miramón,"€ 6,154","€ 320,000",RB,31,Starter,"Jun 30, 2022",2-yrs,"€ 640,000",Levante,La Liga,2020-2021
21,Rober Pier,"€ 5,769","€ 300,000",CB,25,Reserve,"Jun 30, 2023",3-yrs,"€ 900,000",Levante,La Liga,2020-2021
22,Dani Cárdenas,"€ 3,846","€ 200,000",GK,23,Reserve,"Jun 30, 2022",2-yrs,"€ 400,000",Levante,La Liga,2020-2021
0,Manu Sánchez,"€ 48,654","€ 2,530,000",LB,20,Reserve,"Jun 30, 2021",1-yr,"€ 2,530,000",Osasuna,La Liga,2020-2021
1,Jony,"€ 34,423","€ 1,790,000",LW,29,Starter,"Jun 30, 2021",1-yr,"€ 1,790,000",Osasuna,La Liga,2020-2021
2,Chimy Ávila,"€ 28,846","€ 1,500,000",CF,26,Reserve,"Jun 30, 2023",3-yrs,"€ 4,500,000",Osasuna,La Liga,2020-2021
3,Facundo Roncaglia,"€ 26,538","€ 1,380,000",RB,33,Starter,"Jun 30, 2021",1-yr,"€ 1,380,000",Osasuna,La Liga,2020-2021
4,Rubén García,"€ 25,962","€ 1,350,000",RW,27,Starter,"Jun 30, 2024",4-yrs,"€ 5,400,000",Osasuna,La Liga,2020-2021
5,Jonathan Calleri,"€ 21,731","€ 1,130,000",CF,27,Reserve,"Jun 30, 2021",1-yr,"€ 1,130,000",Osasuna,La Liga,2020-2021
6,Rubén Martínez,"€ 20,769","€ 1,080,000",GK,36,Reserve,"Jun 30, 2021",1-yr,"€ 1,080,000",Osasuna,La Liga,2020-2021
7,Nacho Vidal,"€ 19,423","€ 1,010,000",RB,26,Reserve,"Jun 30, 2022",2-yrs,"€ 2,020,000",Osasuna,La Liga,2020-2021
8,Sergio Herrera,"€ 18,269","€ 950,000",GK,27,Starter,"Jun 30, 2023",3-yrs,"€ 2,850,000",Osasuna,La Liga,2020-2021
9,Enric Gallego,"€ 16,538","€ 860,000",CF,34,Starter,"Jun 30, 2022",2-yrs,"€ 1,720,000",Osasuna,La Liga,2020-2021
10,Adrián López,"€ 16,154","€ 840,000",CF,33,Starter,"Jun 30, 2021",1-yr,"€ 840,000",Osasuna,La Liga,2020-2021
11,Darko Brasanac,"€ 14,808","€ 770,000",CM,28,Reserve,"Jun 30, 2023",3-yrs,"€ 2,310,000",Osasuna,La Liga,2020-2021
12,Roberto Torres,"€ 13,654","€ 710,000",AM,31,Reserve,"Jun 30, 2023",3-yrs,"€ 2,130,000",Osasuna,La Liga,2020-2021
13,Jonás Ramalho,"€ 13,077","€ 680,000",CB,27,Reserve,"Jun 30, 2021",1-yr,"€ 680,000",Osasuna,La Liga,2020-2021
14,Unai García,"€ 13,077","€ 680,000",CB,28,Starter,"Jun 30, 2023",3-yrs,"€ 2,040,000",Osasuna,La Liga,2020-2021
15,Juan Pérez,"€ 12,500","€ 650,000",GK,24,Reserve,"Jun 30, 2024",4-yrs,"€ 2,600,000",Osasuna,La Liga,2020-2021
16,Ante Budimir,"€ 12,115","€ 630,000",CF,29,Reserve,"Jun 30, 2021",1-yr,"€ 630,000",Osasuna,La Liga,2020-2021
17,David García,"€ 11,923","€ 620,000",CB,26,Starter,"Jun 30, 2022",2-yrs,"€ 1,240,000",Osasuna,La Liga,2020-2021
